Paper,Table,Experiment,Time,Species,Individuals
Gause_1936_AmNat,3,10,1,Paramecium bursaria,7.0
Gause_1936_AmNat,3,10,2,Paramecium bursaria,9.0
Gause_1936_AmNat,3,10,3,Paramecium bursaria,9.0
Gause_1936_AmNat,3,10,4,Paramecium bursaria,10.5
Gause_1936_AmNat,3,10,5,Paramecium bursaria,9.5
Gause_1936_AmNat,3,10,6,Paramecium bursaria,7.0
Gause_1936_AmNat,3,10,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,10,1,Saccharomyces exiguus,4.5
Gause_1936_AmNat,3,10,2,Saccharomyces exiguus,3.0
Gause_1936_AmNat,3,10,3,Saccharomyces exiguus,2.0
Gause_1936_AmNat,3,10,4,Saccharomyces exiguus,1.5
Gause_1936_AmNat,3,10,5,Saccharomyces exiguus,1.5
Gause_1936_AmNat,3,10,6,Saccharomyces exiguus,1.0
Gause_1936_AmNat,3,10,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,11,1,Paramecium bursaria,9.0
Gause_1936_AmNat,3,11,2,Paramecium bursaria,8.5
Gause_1936_AmNat,3,11,3,Paramecium bursaria,10.0
Gause_1936_AmNat,3,11,4,Paramecium bursaria,9.0
Gause_1936_AmNat,3,11,5,Paramecium bursaria,7.0
Gause_1936_AmNat,3,11,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,11,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,11,1,Saccharomyces exiguus,4.0
Gause_1936_AmNat,3,11,2,Saccharomyces exiguus,1.2
Gause_1936_AmNat,3,11,3,Saccharomyces exiguus,1.0
Gause_1936_AmNat,3,11,4,Saccharomyces exiguus,0.8
Gause_1936_AmNat,3,11,5,Saccharomyces exiguus,1.0
Gause_1936_AmNat,3,11,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,11,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,12,1,Paramecium bursaria,3.5
Gause_1936_AmNat,3,12,2,Paramecium bursaria,5.5
Gause_1936_AmNat,3,12,3,Paramecium bursaria,7.0
Gause_1936_AmNat,3,12,4,Paramecium bursaria,10.2
Gause_1936_AmNat,3,12,5,Paramecium bursaria,12.5
Gause_1936_AmNat,3,12,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,12,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,12,1,Saccharomyces exiguus,10.5
Gause_1936_AmNat,3,12,2,Saccharomyces exiguus,11.5
Gause_1936_AmNat,3,12,3,Saccharomyces exiguus,13.0
Gause_1936_AmNat,3,12,4,Saccharomyces exiguus,14.0
Gause_1936_AmNat,3,12,5,Saccharomyces exiguus,9.0
Gause_1936_AmNat,3,12,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,12,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,13,1,Paramecium bursaria,5.5
Gause_1936_AmNat,3,13,2,Paramecium bursaria,8.0
Gause_1936_AmNat,3,13,3,Paramecium bursaria,13.0
Gause_1936_AmNat,3,13,4,Paramecium bursaria,13.5
Gause_1936_AmNat,3,13,5,Paramecium bursaria,16.0
Gause_1936_AmNat,3,13,6,Paramecium bursaria,14.5
Gause_1936_AmNat,3,13,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,13,1,Saccharomyces exiguus,9.5
Gause_1936_AmNat,3,13,2,Saccharomyces exiguus,8.0
Gause_1936_AmNat,3,13,3,Saccharomyces exiguus,3.3
Gause_1936_AmNat,3,13,4,Saccharomyces exiguus,3.2
Gause_1936_AmNat,3,13,5,Saccharomyces exiguus,2.0
Gause_1936_AmNat,3,13,6,Saccharomyces exiguus,1.5
Gause_1936_AmNat,3,13,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,14,1,Paramecium bursaria,20.5
Gause_1936_AmNat,3,14,2,Paramecium bursaria,35.0
Gause_1936_AmNat,3,14,3,Paramecium bursaria,43.0
Gause_1936_AmNat,3,14,4,Paramecium bursaria,36.0
Gause_1936_AmNat,3,14,5,Paramecium bursaria,22.0
Gause_1936_AmNat,3,14,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,14,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,14,1,Saccharomyces exiguus,19.5
Gause_1936_AmNat,3,14,2,Saccharomyces exiguus,14.5
Gause_1936_AmNat,3,14,3,Saccharomyces exiguus,3.0
Gause_1936_AmNat,3,14,4,Saccharomyces exiguus,2.0
Gause_1936_AmNat,3,14,5,Saccharomyces exiguus,2.5
Gause_1936_AmNat,3,14,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,14,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,15,1,Paramecium bursaria,24.5
Gause_1936_AmNat,3,15,2,Paramecium bursaria,19.0
Gause_1936_AmNat,3,15,3,Paramecium bursaria,17.0
Gause_1936_AmNat,3,15,4,Paramecium bursaria,12.5
Gause_1936_AmNat,3,15,5,Paramecium bursaria,11.0
Gause_1936_AmNat,3,15,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,15,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,15,1,Saccharomyces exiguus,3.0
Gause_1936_AmNat,3,15,2,Saccharomyces exiguus,1.0
Gause_1936_AmNat,3,15,3,Saccharomyces exiguus,0.3
Gause_1936_AmNat,3,15,4,Saccharomyces exiguus,1.2
Gause_1936_AmNat,3,15,5,Saccharomyces exiguus,0.5
Gause_1936_AmNat,3,15,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,15,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,16,1,Paramecium bursaria,30.0
Gause_1936_AmNat,3,16,2,Paramecium bursaria,42.0
Gause_1936_AmNat,3,16,3,Paramecium bursaria,44.5
Gause_1936_AmNat,3,16,4,Paramecium bursaria,27.5
Gause_1936_AmNat,3,16,5,Paramecium bursaria,0.0
Gause_1936_AmNat,3,16,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,16,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,16,1,Saccharomyces exiguus,27.0
Gause_1936_AmNat,3,16,2,Saccharomyces exiguus,13.0
Gause_1936_AmNat,3,16,3,Saccharomyces exiguus,6.0
Gause_1936_AmNat,3,16,4,Saccharomyces exiguus,1.5
Gause_1936_AmNat,3,16,5,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,16,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,16,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,17,1,Paramecium bursaria,20.0
Gause_1936_AmNat,3,17,2,Paramecium bursaria,
Gause_1936_AmNat,3,17,3,Paramecium bursaria,38.0
Gause_1936_AmNat,3,17,4,Paramecium bursaria,32.5
Gause_1936_AmNat,3,17,5,Paramecium bursaria,25.5
Gause_1936_AmNat,3,17,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,17,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,17,1,Saccharomyces exiguus,21.5
Gause_1936_AmNat,3,17,2,Saccharomyces exiguus,
Gause_1936_AmNat,3,17,3,Saccharomyces exiguus,5.0
Gause_1936_AmNat,3,17,4,Saccharomyces exiguus,1.5
Gause_1936_AmNat,3,17,5,Saccharomyces exiguus,1.0
Gause_1936_AmNat,3,17,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,17,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,18,1,Paramecium bursaria,26.0
Gause_1936_AmNat,3,18,2,Paramecium bursaria,35.0
Gause_1936_AmNat,3,18,3,Paramecium bursaria,32.0
Gause_1936_AmNat,3,18,4,Paramecium bursaria,20.0
Gause_1936_AmNat,3,18,5,Paramecium bursaria,17.0
Gause_1936_AmNat,3,18,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,18,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,18,1,Saccharomyces exiguus,7.5
Gause_1936_AmNat,3,18,2,Saccharomyces exiguus,5.0
Gause_1936_AmNat,3,18,3,Saccharomyces exiguus,2.1
Gause_1936_AmNat,3,18,4,Saccharomyces exiguus,0.8
Gause_1936_AmNat,3,18,5,Saccharomyces exiguus,1.0
Gause_1936_AmNat,3,18,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,18,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,19,1,Paramecium bursaria,36.5
Gause_1936_AmNat,3,19,2,Paramecium bursaria,
Gause_1936_AmNat,3,19,3,Paramecium bursaria,
Gause_1936_AmNat,3,19,4,Paramecium bursaria,31.0
Gause_1936_AmNat,3,19,5,Paramecium bursaria,15.0
Gause_1936_AmNat,3,19,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,19,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,19,1,Saccharomyces exiguus,7.6
Gause_1936_AmNat,3,19,2,Saccharomyces exiguus,
Gause_1936_AmNat,3,19,3,Saccharomyces exiguus,
Gause_1936_AmNat,3,19,4,Saccharomyces exiguus,0.8
Gause_1936_AmNat,3,19,5,Saccharomyces exiguus,0.5
Gause_1936_AmNat,3,19,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,19,7,Saccharomyces exiguus,0.0
