Paper,Table,Experiment,Species,Time,Volume,Treatment
Gause_1932_QR,5,2,Saccharomyces cerevisiae,636.0,2.43,5.7
Gause_1932_QR,5,2,Saccharomyces cerevisiae,732.0,2.5,5.7
Gause_1932_QR,5,2,Saccharomyces cerevisiae,16.0,0.12,15.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,32.0,1.0,15.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,48.5,2.82,15.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,75.5,5.63,15.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,96.5,6.43,15.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,119.0,7.27,15.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,144.5,8.14,15.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,168.5,7.32,15.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,6.0,0.18,28.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,12.5,1.28,28.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,18.0,3.2,28.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,24.0,5.22,28.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,30.5,7.28,28.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,36.0,9.08,28.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,42.0,8.78,28.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,48.5,8.73,28.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,73.5,8.45,28.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,4.0,0.18,39.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,8.0,0.65,39.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,12.5,1.44,39.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,16.0,1.68,39.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,20.0,1.84,39.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,36.0,2.02,39.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,40.0,1.95,39.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,6.0,0.16,28.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,13.0,1.6,28.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,18.5,3.17,28.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,24.5,5.87,28.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,31.0,6.3,28.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,38.5,8.77,28.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,44.5,9.63,28.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,50.5,9.28,28.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,61.5,9.74,28.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,73.5,8.93,28.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,4.0,0.12,33.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,9.5,1.56,33.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,13.5,3.12,33.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,18.0,4.93,33.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,24.5,5.8,33.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,31.0,7.87,33.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,38.5,6.3,33.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,44.5,5.83,33.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,50.5,6.95,33.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,61.5,7.27,33.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,4.0,0.18,37.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,9.5,2.0,37.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,13.5,3.4,37.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,18.0,4.57,37.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,24.5,4.82,37.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,31.0,4.82,37.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,38.5,4.3,37.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,44.5,4.66,37.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,50.5,4.11,37.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,3.0,0.06,41.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,6.0,0.18,41.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,9.5,0.24,41.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,13.5,0.36,41.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,18.0,0.58,41.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,24.5,0.48,41.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,31.0,0.24,41.0
Gause_1932_QR,5,3,Saccharomyces cerevisiae,38.5,0.26,41.0
